MUNICIPIO,COMUNA,BARRIO
MEDELLIN,N/A,
MEDELLIN,5,N/A
MEDELLIN,4,Aranjuez
MEDELLIN,9,La Milagrosa
MEDELLIN,9,Salvador 
MEDELLIN,6,N/A
MEDELLIN,N/A,
MEDELLIN,14,Poblado
MEDELLIN,N/A,N/A
MEDELLIN,1,N/A
MEDELLIN,5,N/A
MEDELLIN,N/A,
MEDELLIN,N/A,
MEDELLIN,6,N/A
MEDELLIN,8,N/A
MEDELLIN,16,Belen Fatima
MEDELLIN,11,Estadio
MEDELLIN,N/A,
MEDELLIN,10,N/A
MEDELLIN,13,N/A
MEDELLIN,1,N/A
MEDELLIN,N/A,N/A
MEDELLIN,2,Santa Cruz
MEDELLIN,7,Robledo Las Margaritas 
MEDELLIN,7,Aures
MEDELLIN,6,N/A
MEDELLIN,4,N/A
MEDELLIN,15,N/A
MEDELLIN,N/A,
MEDELLIN ,11,Laureles
MEDELLIN,N/A,N/A
MEDELLIN,5,Castilla 
MEDELLIN,12,Calasanz 
MEDELLIN,5,N/A
MEDELLIN,7,N/A
MEDELLIN,3,N/A
MEDELLIN,9,N/A
MEDELLIN,10,N/A
MEDELLIN,N/A,
MEDELLIN,11,N/A
MEDELLIN,16,N/A
MEDELLIN,6,N/A
MEDELLIN,1,N/A
MEDELLIN,9,LORETO 
MEDELLIN,8,Villatina 
MEDELLIN,N/A,
MEDELLIN,9,N/A
MEDELLIN,6,N/A
MEDELLIN,2, LA FRANCIA 
MEDELLIN,N/A,
MEDELLIN,N/A,N/A
MEDELLIN,1,N/A
MEDELLIN,14,N/A
Medellin ,16,Rodeo alto
MEDELLIN,N/A,
MEDELLIN,N/A,
MEDELLIN,2,N/A
MEDELLIN,15,N/A
MEDELLIN,14,N/A
MEDELLIN,11,Nogal
MEDELLIN,9,Barrio la milagrosa 
MEDELLIN,4,Prado
MEDELLIN,10,N/A
MEDELLIN,5,N/A
MEDELLIN,5,N/A
MEDELLIN,10,N/A
MEDELLIN,16,N/A
MEDELLIN,50,N/A
MEDELLIN,N/A,
MEDELLIN,5,N/A
MEDELLIN,10,N/A
